Date,Fechamento,Máxima,Mínima,Abertura,Volume
1998-01-02,7965.0,7965.0400390625,7880.85009765625,7910.2001953125,47030000
1998-01-05,7979.0,8035.5400390625,7912.97998046875,7967.0,67560000
1998-01-06,7906.25,7978.25,7880.35009765625,7978.25,60200000
1998-01-07,7902.2998046875,7905.759765625,7776.97021484375,7904.7998046875,60990000
1998-01-08,7802.60009765625,7902.02001953125,7796.14990234375,7902.0,63720000
1998-01-09,7580.39990234375,7800.1298828125,7527.35986328125,7799.89990234375,86300000
1998-01-12,7647.2001953125,7652.66015625,7443.41015625,7575.2001953125,80340000
1998-01-13,7732.10009765625,7733.1201171875,7645.68994140625,7646.39990234375,69010000
1998-01-14,7784.7001953125,7788.919921875,7707.9599609375,7732.10009765625,60650000
1998-01-15,7691.7998046875,7783.93994140625,7686.5400390625,7783.7001953125,55900000
1998-01-16,7753.5,7803.1201171875,7696.009765625,7696.009765625,72620000
1998-01-20,7873.10009765625,7874.8701171875,7749.56005859375,7753.7998046875,69310000
1998-01-21,7794.39990234375,7872.1201171875,7737.35986328125,7871.89990234375,69130000
1998-01-22,7730.89990234375,7797.89013671875,7701.97998046875,7793.39990234375,73460000
1998-01-23,7700.7001953125,7776.97021484375,7642.7001953125,7730.60009765625,61250000
1998-01-26,7712.93994140625,7757.77978515625,7690.77001953125,7701.72998046875,52540000
1998-01-27,7815.080078125,7848.4599609375,7708.7099609375,7713.18994140625,69300000
1998-01-28,7915.47021484375,7919.2099609375,7815.080078125,7815.080078125,73510000
1998-01-29,7973.02001953125,8015.1201171875,7883.08984375,7916.72021484375,77770000
1998-01-30,7906.5,7985.97021484375,7893.0498046875,7971.27001953125,53670000
1998-02-02,8107.77978515625,8122.22998046875,7909.990234375,7909.990234375,64720000
1998-02-03,8160.35009765625,8164.330078125,8057.7099609375,8107.77978515625,59100000
1998-02-04,8129.7099609375,8160.10009765625,8090.10009765625,8158.60009765625,56070000
1998-02-05,8117.25,8182.27001953125,8071.91015625,8128.7099609375,60110000
1998-02-06,8189.490234375,8211.91015625,8113.1298828125,8113.759765625,49520000
1998-02-09,8180.52001953125,8216.650390625,8141.91015625,8191.490234375,45450000
1998-02-10,8295.6103515625,8320.0302734375,8178.27978515625,8179.77978515625,67300000
1998-02-11,8314.5498046875,8314.5498046875,8276.9296875,8293.3701171875,50190000
1998-02-12,8369.599609375,8390.26953125,8238.3203125,8311.3095703125,57830000
1998-02-13,8370.099609375,8374.830078125,8311.8095703125,8366.8603515625,44030000
1998-02-17,8398.5,8446.3203125,8368.599609375,8368.599609375,57180000
1998-02-18,8451.0595703125,8451.0595703125,8361.8798828125,8393.509765625,55000000
1998-02-19,8375.580078125,8451.8095703125,8369.349609375,8451.8095703125,54340000
1998-02-20,8413.9404296875,8424.400390625,8318.5302734375,8375.830078125,57230000
1998-02-23,8410.2001953125,8446.5703125,8374.830078125,8413.9404296875,47940000
1998-02-24,8370.099609375,8421.66015625,8345.4404296875,8408.2099609375,53390000
1998-02-25,8457.7802734375,8489.169921875,8368.849609375,8368.849609375,47540000
1998-02-26,8490.669921875,8503.1201171875,8419.919921875,8455.2900390625,49390000
1998-02-27,8545.7197265625,8566.8896484375,8474.9697265625,8489.669921875,55150000
1998-03-02,8550.4501953125,8566.8896484375,8510.83984375,8544.4697265625,55600000
1998-03-03,8584.830078125,8585.080078125,8509.349609375,8548.7099609375,57200000
1998-03-04,8539.240234375,8583.0400390625,8494.650390625,8582.58984375,51380000
1998-03-05,8444.330078125,8537.0498046875,8405.7197265625,8536.7998046875,57110000
1998-03-06,8569.3896484375,8570.8798828125,8444.580078125,8446.8203125,56180000
1998-03-09,8567.1396484375,8624.4404296875,8541.240234375,8570.6298828125,60730000
1998-03-10,8643.1201171875,8650.099609375,8566.6396484375,8567.6396484375,52660000
1998-03-11,8675.75,8695.1904296875,8639.6298828125,8642.3701171875,48620000
1998-03-12,8659.5595703125,8682.48046875,8611.240234375,8673.759765625,46110000
1998-03-13,8602.51953125,8698.419921875,8592.7998046875,8659.5595703125,48870000
1998-03-16,8718.849609375,8718.849609375,8602.01953125,8603.509765625,49980000
1998-03-17,8749.990234375,8749.990234375,8683.98046875,8718.849609375,51720000
1998-03-18,8775.400390625,8780.1298828125,8706.8896484375,8746.5,48740000
1998-03-19,8803.0498046875,8803.0498046875,8759.9501953125,8770.919921875,54710000
1998-03-20,8906.4296875,8913.41015625,8803.2998046875,8803.7998046875,78600000
1998-03-23,8816.25,8900.1396484375,8807.2900390625,8899.7099609375,52570000
1998-03-24,8904.4404296875,8920.3798828125,8817.5,8817.5,46280000
1998-03-25,8872.7998046875,8959.240234375,8800.0595703125,8905.1904296875,59390000
1998-03-26,8846.8896484375,8892.98046875,8820.990234375,8868.5703125,52240000
1998-03-27,8796.080078125,8895.7197265625,8771.91015625,8846.150390625,57390000
1998-03-30,8782.1201171875,8827.9599609375,8748.740234375,8795.080078125,44030000
1998-03-31,8799.8095703125,8898.9599609375,8776.8896484375,8783.1201171875,61770000
1998-04-01,8868.3203125,8883.759765625,8748.740234375,8801.5595703125,79540000
1998-04-02,8986.6396484375,8997.1103515625,8861.33984375,8868.3203125,74630000
1998-04-03,8983.41015625,9030.490234375,8946.2900390625,8986.6396484375,65520000
1998-04-06,9033.23046875,9094.509765625,8983.41015625,8983.41015625,76620000
1998-04-07,8956.5,9033.98046875,8893.48046875,9033.23046875,74580000
1998-04-08,8891.48046875,8968.9599609375,8861.83984375,8956.5,71630000
1998-04-09,8994.8603515625,9014.2998046875,8890.740234375,8891.48046875,56620000
1998-04-13,9012.2998046875,9025.259765625,8925.6103515625,8997.1103515625,62320000
1998-04-14,9110.2001953125,9121.41015625,9013.7998046875,9014.2998046875,61980000
1998-04-15,9162.26953125,9162.26953125,9083.5498046875,9110.4501953125,67260000
1998-04-16,9076.5703125,9164.759765625,9041.9501953125,9162.26953125,64980000
